0001|உங்களுக்கு நா என்ன  செய்யணும்
0002|என்ன ஒதவி வேணும் உங்களுக்கு 
0003|உங்களுக்கு ஒண்ணொண்ணா சொல்லவா
0004|இன்னைக்கு மள வரும்னு நெனைக்கிறேன்
0005|இன்னைக்கி மள வராதுனு நெனைக்கிறேன்
0006|என்ன கேள்வி இருந்தாலும் கேளுங்க நான்  சொல்றேன்
0007|எங்க இருந்து ஆரம்பிக்கிறது சொல்லுங்க
0008|நீங்க என்ன கேள்வி கேட்கணும்னாலும் கேளுங்க நா பதில் சொல்றேன்
0009|ஒரு 2 கிலோமீட்டர் தள்ளி இருக்கு
0010|என்னால முடியும்
0011|ஆமா கண்டிப்பா செஞ்சு தர்றே
0012|சரியாதான் இருக்குது
0013|மன்னிச்சுக்கங்க எனக்கு அது புரியல
0014|உங்க கேள்வியை கொஞ்சம் விவரமா சொல்ல முடியுமா
0015|என்னால முடியாது 
0016|வேலை பார்த்துட்டு இருக்கே
0017|என்ன செஞ்சுகிட்டு இருக்க
0018|சேரி நானும் வரேன்
0019|சும்ம வேடிக்கை பாக்குறேன்
0020|ஒறங்கப் போறேன்
0021|மெதுவாப் பேசு
0022|மருந்து சாப்புட்டியா
0023|அவன உனக்குத் தெரியுமா
0024|பாத்துக்கலா விடு
0025|மணி அஞ்சாச்சு
0026|அவ அங்க போறா
0027|உன்ட்ட கொஞ்சம் பேசணும் 
0028|நிசமாவா சொல்ற
0029|அவங்க அங்க போறாங்க
0030|அவ அங்க போறா
0031|என்ன விசேஷனு சொல்லு
0032|ஒடம்பு ஒரு மாதிரியா இருக்கு
0033|அவன் அங்க போய்ட்டுயிருக்க
0034|பொறுமையா பேசு
0035|சும்மா கத விடாத
0036|கொஞ்ச அங்குட்டு போ
0037|மன்னிச்சுக்க எனக்கு அது புரிய
0038|இன்னைக்கு நாள் உங்களுக்கு  எப்படி போச்சு
0039|உங்களப் பாத்ததுல ரொம்பச் சந்தோசம்
0040|இன்னைக்குப் பொழுது எப்படிப் போச்சு
0041|மணி இப்ப என்னாச்சு
0042|அம்மா அங்குட்டு இருக்காங்க
0043|நீங்க சொன்னது எனக்குச் சரியா வெளங்கல
0044|சூரியன்னா என்னதுப்பா
0045|ஈர்ப்பு விசைன்னா என்னப்பா
0046|இந்த கணக்குச் சிக்கலை கொஞ்சம் முடிச்சு வைங்க
0047|நாம எதுக்குப்பா தூங்கணும்
0048|மழை பத்தி ஒரு கவிதை சொல்லுங்க
0049|உன்கிட்ட கொஞ்சம் பேசணும்
0050|கண்டிப்பா வர முடியும்
